biggan_r_acc,diffusion_text_f_acc,gan_face_translation_acc,gaugan_r_acc,tail_f_acc,variant,variant_name
51.9,76.43935185185185,83.64252449955941,37.92,69.89347222222223,A0_whole_artifact,Whole artifact only
51.55,89.19351851851853,86.52511296053753,37.62,85.47083333333335,A1_artifact,Artifact only
96.85000000000001,36.890740740740746,93.23181291640361,91.66,44.148888888888884,A2_semantic,Semantic only
67.25,90.98750000000001,84.4456233735023,55.84,90.02847222222222,A3_residual,Residual only
96.6,51.42499999999999,95.26745187466786,90.60000000000001,53.418055555555554,A4_no_artifact,No artifact
56.85,95.97268518518518,87.55433597429044,41.44,94.98291666666667,A5_no_semantic,No semantic
85.1,78.74166666666666,94.73845718751795,71.38,73.83694444444444,A6_no_residual,No residual
79.95,84.37314814814815,94.5652587251765,67.2,81.17361111111111,A7_no_tile,No tile
79.35,92.01157407407408,94.63467128151102,65.66,91.21736111111112,A8_full,Full FreqPRISM
